word,written_freq,spoken_freq,zhuyin,pinyin,tags
['家人'],133,197,['ㄐㄧㄚ ㄖㄣˊ'],['jiārén'],"level-1-star, basic, context-personal-info"
['介紹'],107,173,['ㄐㄧㄝˋ ㄕㄠˋ'],['jièshào'],"level-1-star, basic, context-social-relations"
['進'],163,118,['ㄐㄧㄣˋ'],['jìn'],"level-1-star, basic, context-core"
['酒'],175,40,['ㄐㄧㄡˇ'],['jiǔ'],"level-1-star, basic, context-food-dining"
['舊'],118,59,['ㄐㄧㄡˋ'],['jiù'],"level-1-star, basic, context-core"
['覺得'],738,2538,['ㄐㄩㄝˊ ˙ㄉㄜ'],['juéde'],"level-1-star, basic, context-core"
['句子'],22,4,['ㄐㄩˋ ˙ㄗ'],['jùzi'],"level-1-star, basic, context-education-learning"
['開'],267,344,['ㄎㄞ'],['kāi'],"level-1-star, basic, context-core"
['開車'],54,27,['ㄎㄞ ㄔㄜ'],['kāichē'],"level-1-star, basic, context-travel-transport"
['看病'],8,14,['ㄎㄢˋ ㄅㄧㄥˋ'],['kànbìng'],"level-1-star, basic, context-health-medical"
['看到'],659,1347,['ㄎㄢˋ ㄉㄠˋ'],['kàndào'],"level-1-star, basic, context-core"
['看見'],238,49,['ㄎㄢˋ ㄐㄧㄢˋ'],['kànjiàn'],"level-1-star, basic, context-core"
['考試'],56,62,['ㄎㄠˇ ㄕˋ'],['kǎoshì'],"level-1-star, basic, context-education-learning"
['可是'],525,1353,['ㄎㄜˇ ㄕˋ'],['kěshì'],"level-1-star, basic, context-core"
