"id","word","written_freq","spoken_freq","zhuyin","pinyin","tags"
120,"她",4568,2329,"ㄊㄚ","tā","UC::TBCL-level-1, UC::TBCL-basic, UC::TBCL-context-core"
121,"他",10261,6366,"ㄊㄚ","tā","UC::TBCL-level-1, UC::TBCL-basic, UC::TBCL-context-core"
122,"他們",2945,3036,"ㄊㄚ ˙ㄇㄣ","tāmen","UC::TBCL-level-1, UC::TBCL-basic, UC::TBCL-context-core"
123,"太",718,891,"ㄊㄞˋ","tài","UC::TBCL-level-1, UC::TBCL-basic, UC::TBCL-context-core"
124,"太太",276,131,"ㄊㄞˋ ˙ㄊㄞ","tàitai","UC::TBCL-level-1, UC::TBCL-basic, UC::TBCL-context-core"
125,"台灣/臺灣",522,1445,"ㄊㄞˊ ㄨㄢ","táiwān","UC::TBCL-level-1, UC::TBCL-basic, UC::TBCL-context-personal-info"
126,"臺灣人/台灣人",5,11,"ㄊㄞˊ ㄨㄢ  ㄖㄣˊ","táiwānrén","UC::TBCL-level-1, UC::TBCL-basic, UC::TBCL-context-personal-info"
127,"天",1520,1616,"ㄊㄧㄢ","tiān","UC::TBCL-level-1, UC::TBCL-basic, UC::TBCL-context-core"
128,"聽",615,409,"ㄊㄧㄥ","tīng","UC::TBCL-level-1, UC::TBCL-basic, UC::TBCL-context-core"
129,"同學",106,267,"ㄊㄨㄥˊ ㄒㄩㄝˊ","tóngxué","UC::TBCL-level-1, UC::TBCL-basic, UC::TBCL-context-core"
130,"外",388,298,"ㄨㄞˋ","wài","UC::TBCL-level-1, UC::TBCL-basic, UC::TBCL-context-core"
131,"晚安",7,6,"ㄨㄢˇ ㄢ","wǎnān","UC::TBCL-level-1, UC::TBCL-basic, UC::TBCL-context-core"
132,"晚上",189,188,"ㄨㄢˇ ㄕㄤˋ","wǎnshàng","UC::TBCL-level-1, UC::TBCL-basic, UC::TBCL-context-core"
133,"位",1145,1031,"ㄨㄟˋ","wèi","UC::TBCL-level-1, UC::TBCL-basic, UC::TBCL-context-core"
134,"問",694,451,"ㄨㄣˋ","wèn","UC::TBCL-level-1, UC::TBCL-basic, UC::TBCL-context-core"
135,"問題",1138,1105,"ㄨㄣˋ ㄊㄧˊ","wèntí","UC::TBCL-level-1, UC::TBCL-basic, UC::TBCL-context-core"
136,"我",13149,16244,"ㄨㄛˇ","wǒ","UC::TBCL-level-1, UC::TBCL-basic, UC::TBCL-context-core"
137,"我們",4150,12537,"ㄨㄛˇ ˙ㄇㄣ","wǒmen","UC::TBCL-level-1, UC::TBCL-basic, UC::TBCL-context-core"
138,"五",444,360,"ㄨˇ","wǔ","UC::TBCL-level-1, UC::TBCL-basic, UC::TBCL-context-core"
139,"想",1876,2025,"ㄒㄧㄤˇ","xiǎng","UC::TBCL-level-1, UC::TBCL-basic, UC::TBCL-context-core"
140,"先生",862,274,"ㄒㄧㄢ ㄕㄥ","xiānshēng","UC::TBCL-level-1, UC::TBCL-basic, UC::TBCL-context-core"
141,"現在",884,2365,"ㄒㄧㄢˋ ㄗㄞˋ","xiànzài","UC::TBCL-level-1, UC::TBCL-basic, UC::TBCL-context-core"
142,"小",1281,1334,"ㄒㄧㄠˇ","xiǎo","UC::TBCL-level-1, UC::TBCL-basic, UC::TBCL-context-core"
143,"小孩/小孩子",240,547,"ㄒㄧㄠˇ ㄏㄞˊ / ㄒㄧㄠˇ ㄏㄞˊ ˙ㄗ","xiǎohái / xiǎoháizi","UC::TBCL-level-1, UC::TBCL-basic, UC::TBCL-context-core"
144,"小姐",273,50,"ㄒㄧㄠˇ ㄐㄧㄝˇ","xiǎojiě","UC::TBCL-level-1, UC::TBCL-basic, UC::TBCL-context-core"
145,"小時",227,228,"ㄒㄧㄠˇ ㄕˊ","xiǎoshí","UC::TBCL-level-1, UC::TBCL-basic, UC::TBCL-context-core"
146,"下午",83,64,"ㄒㄧㄚˋ ㄨˇ","xiàwǔ","UC::TBCL-level-1, UC::TBCL-basic, UC::TBCL-context-core"
147,"寫",473,410,"ㄒㄧㄝˇ","xiě","UC::TBCL-level-1, UC::TBCL-basic, UC::TBCL-context-core"
148,"謝謝",63,593,"ㄒㄧㄝˋ ˙ㄒㄧㄝ","xièxie","UC::TBCL-level-1, UC::TBCL-basic, UC::TBCL-context-core"
149,"喜歡",494,577,"ㄒㄧˇ ㄏㄨㄢ","xǐhuān","UC::TBCL-level-1, UC::TBCL-basic, UC::TBCL-context-core"
150,"新",822,686,"ㄒㄧㄣ","xīn","UC::TBCL-level-1, UC::TBCL-basic, UC::TBCL-context-core"
151,"姓名",22,3,"ㄒㄧㄥˋ ㄇㄧㄥˊ","xìngmíng","UC::TBCL-level-1, UC::TBCL-basic, UC::TBCL-context-core"
152,"星期天/星期日",17,10,"ㄒㄧㄥ ㄑㄧˊ ㄊㄧㄢ / ㄒㄧㄥ ㄑㄧˊ ㄖˋ","xīngqítiān / xīngqírì","UC::TBCL-level-1, UC::TBCL-basic, UC::TBCL-context-core"
153,"星期一",10,8,"ㄒㄧㄥ ㄑㄧˊ ㄧ","xīngqíyī","UC::TBCL-level-1, UC::TBCL-basic, UC::TBCL-context-core"
154,"學",206,359,"ㄒㄩㄝˊ","xué","UC::TBCL-level-1, UC::TBCL-basic, UC::TBCL-context-core"
155,"學生",418,303,"ㄒㄩㄝˊ ㄕㄥ","xuéshēng","UC::TBCL-level-1, UC::TBCL-basic, UC::TBCL-context-core"
156,"學校",303,497,"ㄒㄩㄝˊ ㄒㄧㄠˋ","xuéxiào","UC::TBCL-level-1, UC::TBCL-basic, UC::TBCL-context-education-learning"
157,"要",3541,7742,"ㄧㄠˋ","yào","UC::TBCL-level-1, UC::TBCL-basic, UC::TBCL-context-core"
158,"也",6312,7341,"ㄧㄝˇ","yě","UC::TBCL-level-1, UC::TBCL-basic, UC::TBCL-context-core"
159,"一",15058,16040,"ㄧ","yī","UC::TBCL-level-1, UC::TBCL-basic, UC::TBCL-context-core"
160,"一起",337,718,"ㄧˋ ㄑㄧˇ","yìqǐ","UC::TBCL-level-1, UC::TBCL-basic, UC::TBCL-context-core"
161,"一月",40,13,"ㄧ ㄩㄝˋ","yīyuè","UC::TBCL-level-1, UC::TBCL-basic, UC::TBCL-context-core"
162,"醫生/醫師",360,372,"ㄧ ㄕㄥ / ㄧ ㄕ","yīshēng / yīshī","UC::TBCL-level-1, UC::TBCL-basic, UC::TBCL-context-health-medical"
163,"英文",59,65,"ㄧㄥ ㄨㄣˊ","yīngwén","UC::TBCL-level-1, UC::TBCL-basic, UC::TBCL-context-education-learning"
164,"用",1521,2223,"ㄩㄥˋ","yòng","UC::TBCL-level-1, UC::TBCL-basic, UC::TBCL-context-core"
165,"有",8990,12724,"ㄧㄡˇ","yǒu","UC::TBCL-level-1, UC::TBCL-basic, UC::TBCL-context-core"
166,"元",220,122,"ㄩㄢˊ","yuán","UC::TBCL-level-1, UC::TBCL-basic, UC::TBCL-context-core"
